cluster_label,sales_units_sum,sales_units_mean,sales_units_std,sales_value_sum,sales_value_mean,sales_value_std
A,2298316,8.990474849299208,5.973975134195835,196676543.7,769.3526562848391,1122.262177729803
B,1306328,6.516651701087499,3.4566220333962017,67401546.8,336.23439489174893,454.79516309521813
C,1156302,7.031114894652032,3.9392743130483368,57991893.2,352.63076951141653,455.049278651772
D,1182316,6.826107791345516,3.810537125640191,63085547.85,364.22475015155453,526.6663010000275
E,1963491,6.504964468518611,3.453844552063677,101702408.4,336.9358723848333,455.6853082134195
